DATE,HOUR,lon,lat,YEAR,killed,injured
12/31/2015,1,-74.0056572,40.7264365,2015,0,0
12/31/2015,1,-73.9800367,40.7655201,2015,0,0
12/31/2015,1,-73.9600916,40.6387754,2015,0,0
12/31/2015,1,-73.8377348,40.8306939,2015,0,1
12/31/2015,1,-73.9903644,40.7192038,2015,0,0
12/31/2015,1,-74.1035089,40.6164151,2015,0,0
12/31/2015,1,-73.9320426,40.5842341,2015,0,1
12/31/2015,1,-73.9422623,40.8064149,2015,0,0
12/31/2015,1,-73.9852826,40.6976294,2015,0,0
12/31/2015,1,-73.8906231,40.6914356,2015,0,0
12/30/2015,1,-73.9643142,40.7606005,2015,0,0
12/30/2015,1,-73.9422828,40.7411807,2015,0,1
12/30/2015,1,-73.9346535,40.8278746,2015,0,0
12/29/2015,1,-74.0025224,40.7397514,2015,0,0
12/29/2015,1,-73.9508929,40.6631263,2015,0,0
12/29/2015,1,-73.8989524,40.7369925,2015,0,0
12/29/2015,1,-73.9815717,40.7496667,2015,0,1
12/28/2015,1,-73.9081028,40.6929769,2015,0,0
12/28/2015,1,-73.9390632,40.8207462,2015,0,0
12/28/2015,1,-73.9726364,40.6508616,2015,0,0
12/28/2015,1,-73.933119,40.6957911,2015,0,0
12/28/2015,1,-73.8596555,40.7133793,2015,0,0
12/28/2015,1,-73.9149938,40.763893,2015,0,1
12/28/2015,1,-73.9173483,40.7049923,2015,0,1
12/28/2015,1,-73.9510849,40.7661014,2015,0,2
12/28/2015,1,-73.9697999,40.7629131,2015,0,2
12/28/2015,1,-73.944807,40.6301285,2015,0,0
12/27/2015,1,-73.9774553,40.6808521,2015,0,1
12/27/2015,1,-73.9207095,40.6082027,2015,0,0
12/27/2015,1,-73.8654013,40.8654692,2015,0,1
12/27/2015,1,-73.9127392,40.8618642,2015,0,0
12/27/2015,1,-73.7753869,40.6675176,2015,0,0
12/27/2015,1,-73.935859,40.6777156,2015,0,0
12/27/2015,1,-73.8873853,40.8727113,2015,0,0
12/27/2015,1,-73.8386902,40.7599494,2015,0,0
12/27/2015,1,-73.920574,40.7328913,2015,0,3
12/27/2015,1,-73.9534702,40.7197986,2015,0,0
12/27/2015,1,-73.9280995,40.832501,2015,0,0
12/27/2015,1,-73.7709699,40.7636007,2015,0,0
12/26/2015,1,-73.9447576,40.7197624,2015,0,1
12/26/2015,1,-73.9283651,40.6328477,2015,0,0
12/26/2015,1,-73.9716649,40.7288907,2015,0,0
12/26/2015,1,-73.9098329,40.6403087,2015,0,0
12/26/2015,1,-73.9163115,40.7408546,2015,0,1
12/26/2015,1,-73.7769974,40.6862815,2015,0,0
12/25/2015,1,-73.8553098,40.8093413,2015,0,0
12/25/2015,1,-73.8414983,40.6976804,2015,0,0
12/25/2015,1,-73.8155478,40.6895995,2015,0,0
12/25/2015,1,-73.7354338,40.6709379,2015,0,0
12/25/2015,1,-73.941392,40.818472,2015,0,0
12/25/2015,1,-73.9600286,40.7980373,2015,0,1
12/25/2015,1,-73.9115071,40.7444713,2015,0,0
12/25/2015,1,-73.7620105,40.7018692,2015,0,0
12/25/2015,1,-73.9891656,40.7478946,2015,0,0
12/24/2015,1,-73.929027,40.7082774,2015,0,0
12/24/2015,1,-73.9791936,40.7717807,2015,0,0
12/24/2015,1,-73.9343077,40.7410282,2015,0,0
12/24/2015,1,-73.8152441,40.7042012,2015,0,0
12/24/2015,1,-73.8767643,40.7056477,2015,0,0
12/24/2015,1,-73.8715988,40.6741348,2015,0,0
12/24/2015,1,-73.8235801,40.8278679,2015,0,0
12/24/2015,1,-73.8381451,40.8667049,2015,0,0
12/24/2015,1,-73.9524697,40.6506684,2015,0,1
12/23/2015,1,-73.8990539,40.7343192,2015,0,0
12/23/2015,1,-73.9481865,40.6902407,2015,0,5
12/23/2015,1,-73.9599766,40.6502101,2015,0,0
12/23/2015,1,-73.8536375,40.8733019,2015,0,0
12/23/2015,1,-73.9748892,40.7195512,2015,0,0
12/23/2015,1,-73.9682164,40.7679685,2015,0,0
12/23/2015,1,-73.8719136,40.6754032,2015,0,1
12/22/2015,1,-73.9136638,40.7304453,2015,0,1
12/22/2015,1,-73.7957179,40.6746454,2015,0,0
12/22/2015,1,-74.105687,40.5816283,2015,0,0
12/22/2015,1,-73.9250826,40.7325591,2015,0,0
12/22/2015,1,-73.9304809,40.7529656,2015,0,0
12/21/2015,1,-73.9730687,40.7584318,2015,0,0
12/21/2015,1,-73.9477726,40.6339973,2015,0,0
12/21/2015,1,-73.8954062,40.7502493,2015,0,0
