DATE,HOUR,lon,lat,YEAR,killed,injured
12/31/2015,18,-73.8990319,40.83933,2015,0,0
12/31/2015,18,-73.996771,40.725432,2015,0,0
12/31/2015,18,-73.8717704,40.7461028,2015,0,0
12/31/2015,18,-73.7385662,40.6663969,2015,0,0
12/31/2015,18,-73.7431647,40.7545534,2015,0,0
12/31/2015,18,-73.9459843,40.8404983,2015,0,0
12/31/2015,18,-73.9496815,40.8020241,2015,0,0
12/31/2015,18,-73.9501595,40.7955879,2015,0,0
12/31/2015,18,-73.7715434,40.6679631,2015,0,0
12/31/2015,18,-73.828758,40.6776719,2015,0,2
12/31/2015,18,-73.8797404,40.6793614,2015,0,0
12/31/2015,18,-73.951661,40.7820076,2015,0,0
12/31/2015,18,-73.8377671,40.7254507,2015,0,1
12/31/2015,18,-73.9059999,40.8494529,2015,0,0
12/31/2015,18,-73.8774731,40.8399843,2015,0,0
12/31/2015,18,-74.0111551,40.6374039,2015,0,0
12/31/2015,18,-73.9426955,40.6640557,2015,0,0
12/31/2015,18,-73.7715434,40.6679631,2015,0,0
12/31/2015,18,-73.9499552,40.8271027,2015,0,2
12/31/2015,18,-73.8239273,40.7864283,2015,0,0
12/31/2015,18,-73.8359814,40.6944174,2015,0,0
12/31/2015,18,-73.9420676,40.7147294,2015,0,1
12/31/2015,18,-73.9167898,40.8548737,2015,0,0
12/31/2015,18,-74.0217355,40.6316877,2015,0,0
12/31/2015,18,-73.7475057,40.6654754,2015,0,0
12/31/2015,18,-73.9666227,40.6270435,2015,0,0
12/30/2015,18,-74.1780428,40.616548,2015,0,0
12/30/2015,18,-73.9511735,40.6884003,2015,0,0
12/30/2015,18,-74.0090886,40.6498215,2015,0,0
12/30/2015,18,-73.9856472,40.7629162,2015,0,0
12/30/2015,18,-73.7385662,40.6663969,2015,0,0
12/30/2015,18,-73.7353338,40.665256,2015,0,0
12/30/2015,18,-73.7671284,40.6666971,2015,0,0
12/30/2015,18,-73.8879861,40.7435478,2015,0,1
12/30/2015,18,-73.9598255,40.8054342,2015,0,0
12/30/2015,18,-73.9200111,40.695157,2015,0,1
12/30/2015,18,-73.858924,40.878367,2015,0,0
12/30/2015,18,-73.9442713,40.7819374,2015,0,0
12/30/2015,18,-73.9897889,40.637264,2015,0,0
12/30/2015,18,-73.9623752,40.7999155,2015,0,0
12/30/2015,18,-73.9520352,40.803897,2015,0,0
12/30/2015,18,-73.8875543,40.766359,2015,0,0
12/30/2015,18,-73.9534414,40.7248737,2015,0,0
12/30/2015,18,-73.8620273,40.8849854,2015,0,0
12/30/2015,18,-73.9841751,40.7598419,2015,0,0
12/30/2015,18,-73.8152441,40.7042012,2015,0,0
12/30/2015,18,-73.8879173,40.7158065,2015,0,1
12/30/2015,18,-73.9397007,40.8070339,2015,0,3
12/30/2015,18,-73.9741945,40.7965647,2015,0,0
12/30/2015,18,-73.7916758,40.7083797,2015,0,1
12/30/2015,18,-73.8346499,40.6671159,2015,0,0
12/30/2015,18,-73.9804165,40.5829775,2015,0,0
12/30/2015,18,-74.0996777,40.6196656,2015,0,1
12/30/2015,18,-73.8632602,40.7286583,2015,0,0
12/30/2015,18,-73.8840175,40.6662595,2015,0,0
12/30/2015,18,-73.9617322,40.6053581,2015,0,0
12/30/2015,18,-73.9559998,40.7678026,2015,0,0
12/30/2015,18,-73.8017231,40.7561783,2015,0,0
12/30/2015,18,-73.8889763,40.7492579,2015,0,0
12/30/2015,18,-73.8204297,40.6656865,2015,0,0
12/30/2015,18,-74.0026387,40.7601586,2015,0,0
12/30/2015,18,-73.9541633,40.7872263,2015,0,0
12/30/2015,18,-73.9861058,40.7622904,2015,0,0
12/30/2015,18,-73.9761722,40.7967215,2015,0,0
12/30/2015,18,-73.9761722,40.7967215,2015,0,0
12/30/2015,18,-73.967462,40.7602226,2015,0,0
12/30/2015,18,-74.013556,40.7144796,2015,0,0
12/30/2015,18,-73.8482897,40.8463448,2015,0,0
12/29/2015,18,-74.0337404,40.6076439,2015,0,0
12/29/2015,18,-74.0007174,40.6770446,2015,0,0
12/29/2015,18,-73.9723632,40.762288,2015,0,0
12/29/2015,18,-73.9434733,40.8308901,2015,0,0
12/29/2015,18,-74.1481254,40.5397999,2015,0,0
12/29/2015,18,-73.8998589,40.8205623,2015,0,0
12/29/2015,18,-74.0067527,40.7136184,2015,0,0
12/29/2015,18,-73.8502627,40.7020426,2015,0,0
12/29/2015,18,-73.9049326,40.8627501,2015,0,1
12/29/2015,18,-73.9939358,40.7589782,2015,0,0
12/29/2015,18,-73.9481452,40.7896858,2015,0,0
12/29/2015,18,-73.8375213,40.8378984,2015,0,0
12/29/2015,18,-73.9449004,40.6434847,2015,0,0
12/29/2015,18,-73.9765763,40.627573,2015,0,0
12/29/2015,18,-73.9753742,40.7610398,2015,0,0
12/29/2015,18,-73.8307426,40.7607946,2015,0,0
12/29/2015,18,-73.84158,40.7786124,2015,0,0
12/29/2015,18,-73.8347735,40.666439,2015,0,0
12/29/2015,18,-74.0087575,40.6532827,2015,0,1
