DATE,HOUR,lon,lat,YEAR,killed,injured
12/18/2015,23,-74.0105739,40.6513986,2015,0,2
12/18/2015,23,-73.817418,40.7044959,2015,0,0
12/17/2015,23,-73.7777101,40.7220991,2015,0,4
12/31/2015,23,-73.9184943,40.7677355,2015,0,0
12/31/2015,23,-73.9885242,40.7214625,2015,0,0
12/31/2015,23,-74.0022079,40.7216223,2015,0,0
12/31/2015,23,-73.8861679,40.7495516,2015,0,0
12/31/2015,23,-73.7635067,40.6999702,2015,0,0
12/31/2015,23,-73.7972488,40.6833601,2015,0,3
12/31/2015,23,-73.8446429,40.6807,2015,0,1
12/31/2015,23,-73.9603492,40.5873051,2015,0,3
12/31/2015,23,-73.9600738,40.6564847,2015,0,0
12/31/2015,23,-73.9926328,40.7584292,2015,0,0
12/31/2015,23,-73.9485521,40.8239402,2015,0,0
12/30/2015,23,-73.8267178,40.8218178,2015,0,0
12/30/2015,23,-73.9847429,40.7395116,2015,0,1
12/30/2015,23,-73.9584145,40.8206258,2015,0,1
12/30/2015,23,-73.8928581,40.6402503,2015,0,2
12/30/2015,23,-73.9897692,40.7190253,2015,0,0
12/30/2015,23,-73.9881543,40.7319639,2015,0,0
12/30/2015,23,-73.8472368,40.7098749,2015,0,1
12/30/2015,23,-73.7822365,40.7894981,2015,0,0
12/30/2015,23,-73.8842405,40.8680065,2015,0,1
12/30/2015,23,-74.0202788,40.6280621,2015,0,2
12/30/2015,23,-73.8980963,40.7706396,2015,0,0
12/30/2015,23,-73.9436997,40.8153057,2015,0,1
12/30/2015,23,-73.8841464,40.8228946,2015,0,0
12/30/2015,23,-74.0101574,40.7345744,2015,0,1
12/30/2015,23,-73.9916483,40.7224015,2015,0,1
12/30/2015,23,-73.8876057,40.8749566,2015,0,1
12/30/2015,23,-73.9306135,40.6741471,2015,0,0
12/30/2015,23,-73.9943105,40.6409121,2015,0,1
12/29/2015,23,-74.0092229,40.6306327,2015,0,0
12/29/2015,23,-74.0092229,40.6306327,2015,0,0
12/29/2015,23,-73.9502515,40.6725296,2015,0,1
12/29/2015,23,-73.894019,40.7124417,2015,0,0
12/29/2015,23,-73.9712291,40.7469199,2015,0,1
12/29/2015,23,-73.7878451,40.7118119,2015,0,1
12/29/2015,23,-73.9257141,40.6937253,2015,0,0
12/29/2015,23,-73.8613598,40.8946624,2015,0,2
12/29/2015,23,-73.9415775,40.8334884,2015,0,0
12/29/2015,23,-74.0147538,40.6339615,2015,0,0
12/29/2015,23,-73.8838429,40.7457972,2015,0,1
12/28/2015,23,-74.0335894,40.6076704,2015,0,0
12/28/2015,23,-73.9076597,40.8436876,2015,0,0
12/28/2015,23,-73.8887269,40.7689155,2015,0,1
12/28/2015,23,-73.9416189,40.7986223,2015,0,1
12/27/2015,23,-73.9930696,40.7578281,2015,0,0
12/27/2015,23,-74.0754674,40.6351948,2015,0,0
12/27/2015,23,-73.9375166,40.8441385,2015,0,0
12/27/2015,23,-73.9496967,40.7962162,2015,0,0
12/27/2015,23,-73.8941015,40.842191,2015,0,0
12/27/2015,23,-73.939355,40.6274578,2015,0,0
12/27/2015,23,-73.953515,40.6813829,2015,0,0
12/27/2015,23,-73.9181853,40.6607252,2015,0,0
12/27/2015,23,-74.0121683,40.7203179,2015,0,2
12/26/2015,23,-73.9529869,40.678723,2015,0,0
12/26/2015,23,-74.0048192,40.7134758,2015,0,0
12/26/2015,23,-73.9772016,40.758537,2015,0,0
12/26/2015,23,-73.8001949,40.7229393,2015,0,1
