DATE,HOUR,lon,lat,YEAR,killed,injured
12/31/2015,21,-73.8624704,40.8940586,2015,0,0
12/31/2015,21,-73.8997314,40.8308055,2015,0,0
12/31/2015,21,-73.9762346,40.6259754,2015,0,0
12/31/2015,21,-73.9140004,40.6917381,2015,0,0
12/31/2015,21,-73.9446473,40.8140107,2015,0,0
12/31/2015,21,-73.9422507,40.6366269,2015,0,1
12/31/2015,21,-73.8411834,40.672428,2015,0,0
12/31/2015,21,-73.978388,40.6844232,2015,0,0
12/31/2015,21,-73.9495073,40.7936059,2015,0,0
12/31/2015,21,-73.8412762,40.8803175,2015,0,0
12/31/2015,21,-73.8878967,40.8267434,2015,0,0
12/31/2015,21,-73.9206109,40.866761,2015,0,0
12/30/2015,21,-73.9377625,40.6392595,2015,0,0
12/30/2015,21,-73.9949534,40.7158555,2015,0,0
12/30/2015,21,-74.0006602,40.72084,2015,0,0
12/30/2015,21,-73.8674729,40.742096,2015,0,0
12/30/2015,21,-73.8794051,40.7371576,2015,0,0
12/30/2015,21,-74.2015265,40.5262662,2015,0,0
12/30/2015,21,-73.8615893,40.7347702,2015,0,0
12/30/2015,21,-73.9763477,40.7440912,2015,0,1
12/30/2015,21,-73.8725586,40.8565383,2015,0,1
12/30/2015,21,-73.9856472,40.7629162,2015,0,2
12/30/2015,21,-73.8044449,40.6803775,2015,0,0
12/30/2015,21,-73.9259293,40.8278116,2015,0,0
12/30/2015,21,-73.8319573,40.7629537,2015,0,0
12/30/2015,21,-73.9127363,40.872316,2015,0,0
12/30/2015,21,-74.1009095,40.5910225,2015,0,0
12/30/2015,21,-73.979056,40.7617706,2015,0,0
12/30/2015,21,-74.0170205,40.6076551,2015,0,0
12/30/2015,21,-73.8592776,40.7317743,2015,0,1
12/30/2015,21,-73.9219163,40.6449096,2015,0,0
12/30/2015,21,-73.8774823,40.6858751,2015,0,0
12/29/2015,21,-73.9606094,40.7016557,2015,0,0
12/29/2015,21,-73.9728508,40.7616156,2015,0,0
12/29/2015,21,-73.8411164,40.6641936,2015,0,0
12/29/2015,21,-73.7407727,40.7386362,2015,0,0
12/29/2015,21,-73.7708189,40.6690156,2015,0,0
12/29/2015,21,-73.8977968,40.8716697,2015,0,0
12/29/2015,21,-73.9634255,40.7618573,2015,0,0
12/29/2015,21,-73.7699963,40.6672401,2015,0,0
12/29/2015,21,-73.9780219,40.6355523,2015,0,0
12/29/2015,21,-73.8932165,40.8598744,2015,0,0
12/29/2015,21,-73.8817778,40.6923473,2015,0,0
12/28/2015,21,-73.7823167,40.7893858,2015,0,0
12/28/2015,21,-73.8506893,40.8754857,2015,0,0
12/28/2015,21,-73.7794083,40.6834233,2015,0,1
12/28/2015,21,-73.9313269,40.6605938,2015,0,0
12/28/2015,21,-73.9064808,40.8467333,2015,0,0
12/28/2015,21,-73.9740952,40.6433056,2015,0,1
12/28/2015,21,-73.7580004,40.7603793,2015,0,0
12/28/2015,21,-73.9083183,40.5942332,2015,0,3
12/28/2015,21,-73.9292446,40.8461823,2015,0,0
12/28/2015,21,-73.7972628,40.7131574,2015,0,0
12/28/2015,21,-73.8455592,40.8377173,2015,0,0
12/27/2015,21,-73.8906229,40.6585778,2015,0,0
12/27/2015,21,-73.9926041,40.7241363,2015,0,0
12/27/2015,21,-73.8166124,40.7031657,2015,0,0
12/27/2015,21,-73.9977888,40.6043407,2015,0,1
12/27/2015,21,-73.9400291,40.6630196,2015,0,0
12/27/2015,21,-73.8979659,40.8840347,2015,0,1
12/27/2015,21,-73.9709549,40.6143692,2015,0,1
12/27/2015,21,-74.0307065,40.6243269,2015,0,0
12/27/2015,21,-73.9867215,40.7159536,2015,0,0
12/27/2015,21,-73.9386241,40.6778626,2015,0,0
12/27/2015,21,-73.9781153,40.7572855,2015,0,0
12/27/2015,21,-73.8291273,40.7656888,2015,0,1
12/27/2015,21,-73.9841751,40.7598419,2015,0,1
12/27/2015,21,-73.934392,40.8056394,2015,0,0
12/27/2015,21,-73.9092172,40.8518022,2015,0,0
12/27/2015,21,-73.9445747,40.6148042,2015,0,0
12/27/2015,21,-73.9915618,40.7497063,2015,0,0
12/27/2015,21,-73.9746783,40.7591128,2015,0,0
12/27/2015,21,-73.8900034,40.7654254,2015,0,0
12/27/2015,21,-74.0256616,40.6293786,2015,0,1
12/27/2015,21,-73.871641,40.7308857,2015,0,1
12/27/2015,21,-73.9257344,40.8211748,2015,0,4
12/27/2015,21,-73.8935101,40.631344,2015,0,5
12/27/2015,21,-73.9965789,40.7428118,2015,0,0
12/27/2015,21,-73.8870945,40.8331515,2015,0,2
12/27/2015,21,-73.9659332,40.7710996,2015,0,0
12/27/2015,21,-73.9421971,40.6694023,2015,0,0
12/27/2015,21,-73.8684354,40.8632302,2015,0,1
12/26/2015,21,-73.9449004,40.6434847,2015,0,0
