DATE,HOUR,lon,lat,YEAR,killed,injured
12/31/2015,12,-73.8897794,40.8593524,2015,0,0
12/31/2015,12,-73.9532731,40.7281344,2015,0,0
12/31/2015,12,-73.9107412,40.6696841,2015,0,0
12/31/2015,12,-73.89071,40.6472557,2015,0,0
12/31/2015,12,-73.9136994,40.7654813,2015,0,0
12/31/2015,12,-73.8851084,40.8364762,2015,0,0
12/31/2015,12,-73.89071,40.6472557,2015,0,0
12/31/2015,12,-73.856488,40.6733759,2015,0,0
12/31/2015,12,-73.9103026,40.8054914,2015,0,2
12/31/2015,12,-73.8484736,40.7100797,2015,0,0
12/31/2015,12,-73.8892023,40.8564205,2015,0,0
12/31/2015,12,-73.9177996,40.8772382,2015,0,0
12/31/2015,12,-74.0283499,40.6227987,2015,0,0
12/31/2015,12,-73.9607379,40.6486431,2015,0,0
12/31/2015,12,-73.858574,40.6842066,2015,0,0
12/31/2015,12,-73.956722,40.7089689,2015,0,0
12/31/2015,12,-73.8672069,40.8230819,2015,0,1
12/31/2015,12,-73.9812105,40.7250737,2015,0,0
12/31/2015,12,-73.8232509,40.6661438,2015,0,0
12/31/2015,12,-73.926144,40.7287817,2015,0,0
12/31/2015,12,-73.9869998,40.6762863,2015,0,0
12/31/2015,12,-73.9718339,40.5798042,2015,0,0
12/31/2015,12,-73.7414326,40.7527074,2015,0,0
12/31/2015,12,-73.777087,40.7112509,2015,0,0
12/31/2015,12,-73.8865683,40.7369398,2015,0,0
12/30/2015,12,-73.970545,40.6453166,2015,0,0
12/30/2015,12,-73.9360798,40.8461057,2015,0,0
12/30/2015,12,-73.9861638,40.7263974,2015,0,1
12/30/2015,12,-73.9821185,40.7697419,2015,0,0
12/30/2015,12,-74.0212161,40.6184717,2015,0,0
12/30/2015,12,-73.9934636,40.7521904,2015,0,0
12/30/2015,12,-73.8776621,40.8728304,2015,0,0
12/30/2015,12,-73.9815125,40.7678891,2015,0,0
12/30/2015,12,-73.837804,40.6508164,2015,0,0
12/30/2015,12,-73.9816215,40.7786073,2015,0,0
12/30/2015,12,-74.0156568,40.7048837,2015,0,0
12/30/2015,12,-73.9940691,40.7615555,2015,0,0
12/30/2015,12,-73.9984879,40.7452931,2015,0,1
12/30/2015,12,-73.9801803,40.6106328,2015,0,0
12/30/2015,12,-73.9535506,40.5991464,2015,0,0
12/30/2015,12,-73.9998666,40.6850373,2015,0,0
12/30/2015,12,-73.7830421,40.6758436,2015,0,0
12/30/2015,12,-73.8419216,40.893287,2015,0,0
12/30/2015,12,-73.8590554,40.8334144,2015,0,0
12/30/2015,12,-73.9467957,40.6979035,2015,0,0
12/30/2015,12,-73.9824702,40.7640329,2015,0,0
12/30/2015,12,-73.9629257,40.7583082,2015,0,0
12/30/2015,12,-73.9113446,40.8049944,2015,0,0
12/30/2015,12,-73.9215605,40.8525715,2015,0,1
12/30/2015,12,-73.8439779,40.7214535,2015,0,1
12/30/2015,12,-73.9519581,40.7151811,2015,0,0
12/30/2015,12,-73.8620535,40.8445011,2015,0,2
12/30/2015,12,-73.7374171,40.7582878,2015,0,0
