DATE,HOUR,lon,lat,YEAR,killed,injured
12/31/2015,0,-73.8723352,40.8593538,2015,0,0
12/31/2015,0,-73.9514043,40.5993815,2015,0,0
12/31/2015,0,-73.9849394,40.7323478,2015,0,0
12/31/2015,0,-73.9400526,40.8253798,2015,0,0
12/31/2015,0,-73.8844393,40.7556569,2015,0,0
12/31/2015,0,-73.9950868,40.7652528,2015,0,1
12/31/2015,0,-73.9326561,40.736342,2015,0,1
12/31/2015,0,-73.8957589,40.6355621,2015,0,0
12/31/2015,0,-73.9897692,40.7190253,2015,0,0
12/31/2015,0,-74.0166846,40.7047985,2015,0,0
12/31/2015,0,-73.9371593,40.6637537,2015,0,1
12/31/2015,0,-73.9689357,40.7583292,2015,0,0
12/31/2015,0,-73.882203,40.6853613,2015,0,0
12/31/2015,0,-73.9840766,40.7491017,2015,0,0
12/31/2015,0,-73.8239273,40.7864283,2015,0,0
12/31/2015,0,-73.8712228,40.8464687,2015,0,0
12/31/2015,0,-73.9158178,40.7699976,2015,0,0
12/31/2015,0,-73.9187438,40.8147666,2015,0,0
12/31/2015,0,-73.9589603,40.6327749,2015,0,0
12/31/2015,0,-73.9360259,40.6878906,2015,0,0
12/31/2015,0,-73.9744953,40.7466818,2015,0,0
12/31/2015,0,-73.9734636,40.7636578,2015,0,0
12/31/2015,0,-73.8718866,40.7551139,2015,0,0
12/31/2015,0,-74.0074063,40.7531428,2015,0,0
12/31/2015,0,-73.9453796,40.8418477,2015,0,0
12/30/2015,0,-73.9062789,40.5983934,2015,0,0
12/30/2015,0,-73.9921418,40.7591044,2015,0,1
12/30/2015,0,-73.9031775,40.6553118,2015,0,3
12/30/2015,0,-73.8344291,40.8678991,2015,0,0
12/30/2015,0,-73.9871041,40.696131,2015,0,0
12/30/2015,0,-73.9940691,40.7615555,2015,0,0
12/30/2015,0,-73.8826776,40.692317,2015,0,4
12/29/2015,0,-73.8937266,40.8619443,2015,0,0
12/29/2015,0,-73.9756156,40.6834565,2015,0,0
12/29/2015,0,-74.014337,40.706237,2015,0,0
12/29/2015,0,-73.9894015,40.762859,2015,0,1
12/29/2015,0,-74.0081048,40.7387575,2015,0,1
12/29/2015,0,-73.8158161,40.6864517,2015,0,1
12/29/2015,0,-73.8652085,40.8714085,2015,0,0
12/29/2015,0,-73.8804621,40.8439096,2015,0,0
12/28/2015,0,-73.9652411,40.7551305,2015,0,1
