DATE,HOUR,lon,lat,YEAR,killed,injured
12/31/2015,4,-73.9301534,40.752013,2015,0,0
12/31/2015,4,-73.8915579,40.6354759,2015,0,1
12/30/2015,4,-73.7258224,40.6816365,2015,0,0
12/30/2015,4,-73.9408539,40.8141049,2015,0,0
12/29/2015,4,-73.8610116,40.834597,2015,0,1
12/29/2015,4,-73.9907077,40.6891376,2015,0,0
12/29/2015,4,-73.9170643,40.8636899,2015,0,0
12/27/2015,4,-73.9249432,40.8275118,2015,0,0
12/27/2015,4,-73.8577324,40.8927532,2015,0,0
12/27/2015,4,-73.9195789,40.6558432,2015,0,0
12/27/2015,4,-73.9124694,40.8416191,2015,0,1
12/27/2015,4,-73.8236242,40.8661615,2015,0,0
12/27/2015,4,-73.8776702,40.7367523,2015,0,0
12/27/2015,4,-73.8989268,40.7562991,2015,0,0
12/27/2015,4,-73.788475,40.6713276,2015,0,0
12/27/2015,4,-73.9493936,40.8354859,2015,0,1
12/27/2015,4,-73.9881885,40.6004123,2015,0,5
12/27/2015,4,-73.9390977,40.6882902,2015,0,3
12/26/2015,4,-73.7537515,40.6657321,2015,0,0
12/26/2015,4,-73.9808868,40.7592705,2015,0,0
12/26/2015,4,-73.9353011,40.6842287,2015,0,0
12/26/2015,4,-73.8330138,40.7283926,2015,0,0
12/26/2015,4,-74.0758098,40.638513,2015,0,0
12/26/2015,4,-73.9507928,40.7791801,2015,0,0
12/26/2015,4,-73.9292434,40.7967405,2015,0,0
12/25/2015,4,-73.8986765,40.6336818,2015,0,0
12/25/2015,4,-73.9550764,40.8200975,2015,0,0
12/25/2015,4,-73.8802047,40.7480249,2015,0,0
12/25/2015,4,-73.8784035,40.7600423,2015,0,0
12/25/2015,4,-73.8599941,40.7531129,2015,0,0
12/25/2015,4,-73.9404204,40.7010761,2015,0,2
12/24/2015,4,-73.9235659,40.6424981,2015,0,0
12/24/2015,4,-73.8696114,40.7078356,2015,0,0
12/24/2015,4,-73.8833146,40.6919146,2015,0,0
12/24/2015,4,-73.8833146,40.6919146,2015,0,0
12/24/2015,4,-73.8552678,40.7439395,2015,0,2
12/24/2015,4,-73.8818034,40.8152123,2015,0,0
12/23/2015,4,-73.8204991,40.678749,2015,0,0
12/23/2015,4,-73.8139159,40.6977532,2015,0,0
12/23/2015,4,-73.9700881,40.6437465,2015,0,1
12/23/2015,4,-74.1119548,40.6332575,2015,0,0
12/23/2015,4,-73.9405585,40.7889493,2015,0,0
12/22/2015,4,-74.0756451,40.6266639,2015,0,0
12/22/2015,4,-73.9514819,40.7304639,2015,0,0
12/22/2015,4,-73.9372674,40.7404589,2015,0,0
12/21/2015,4,-73.8833811,40.7498452,2015,0,0
12/21/2015,4,-73.9985895,40.7170989,2015,0,0
12/21/2015,4,-73.8211022,40.6958225,2015,0,0
12/21/2015,4,-73.7917688,40.7617326,2015,0,0
12/21/2015,4,-73.9517434,40.777874,2015,0,0
12/20/2015,4,-73.9171189,40.6981083,2015,0,0
12/20/2015,4,-74.1232208,40.6292495,2015,0,0
12/20/2015,4,-73.9422507,40.6366269,2015,0,0
12/20/2015,4,-73.7653955,40.6920664,2015,0,0
12/20/2015,4,-73.954162,40.7128032,2015,0,0
12/20/2015,4,-74.0309361,40.6056732,2015,0,1
12/20/2015,4,-73.9356863,40.737833,2015,0,1
12/20/2015,4,-73.9607374,40.692425,2015,0,5
12/20/2015,4,-73.8119312,40.7023404,2015,0,0
12/20/2015,4,-73.952663,40.6524883,2015,0,0
12/20/2015,4,-73.9474653,40.6490386,2015,0,0
12/20/2015,4,-73.933443,40.7143843,2015,0,1
12/20/2015,4,-73.9529869,40.678723,2015,0,1
12/20/2015,4,-73.9131023,40.882812,2015,0,0
12/20/2015,4,-73.9166906,40.6742806,2015,0,0
12/20/2015,4,-74.0068099,40.7440605,2015,0,0
12/19/2015,4,-73.7946223,40.7864955,2015,0,0
12/19/2015,4,-73.9314803,40.6620514,2015,0,0
12/19/2015,4,-73.9314803,40.6620514,2015,0,0
12/19/2015,4,-73.9314803,40.6620514,2015,0,0
12/19/2015,4,-73.860862,40.8870975,2015,0,0
12/19/2015,4,-73.9128683,40.7743626,2015,0,2
12/19/2015,4,-74.0070218,40.6321095,2015,0,0
12/19/2015,4,-73.8398215,40.7098297,2015,0,0
12/19/2015,4,-73.9087985,40.6958458,2015,0,1
12/19/2015,4,-74.1852568,40.5327247,2015,0,0
